index,Grupo,ID_producto,Producto,Cantidad,Venta_Promedio,Monto_gravado,IVA,Total,Fecha_raw,Fecha,Año,Mes
0,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,10155.94,,292092572.0,29209223.0,321301795.0,,,,
1,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,1136,1136,392.0,52989.7959183673,18883642.0,1888358.0,20772000.0,,,,
43,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,2042,2042,183.0,43762.2950819672,7280452.0,728048.0,8008500.0,,2018-12-19,2018.0,12.0
78,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3736,3736,11.65,22000.0,233000.0,23300.0,256300.0,,2018-12-20,2018.0,12.0
81,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3763,3763,2.0,45000.0,81818.0,8182.0,90000.0,,2018-08-29,2018.0,8.0
83,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3767,3767,10.0,33000.0,300000.0,30000.0,330000.0,,2018-06-30,2018.0,6.0
87,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3821,3821,197.88,28195.8762886598,5072182.0,507218.0,5579400.0,,2018-05-24,2018.0,5.0
93,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3986,3986,187.5,21027.0026666667,3584148.0,358415.0,3942563.0,,2018-11-30,2018.0,11.0
102,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3987,3987,360.0,21552.2583333333,7053466.0,705347.0,7758813.0,,2018-12-13,2018.0,12.0
119,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3988,3988,138.0,24713.7463768116,3100452.0,310045.0,3410497.0,,2018-11-12,2018.0,11.0
126,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,3992,3992,234.6,25872.5490196078,5517910.0,551790.0,6069700.0,,2018-12-18,2018.0,12.0
141,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4022,4022,57.5,25130.4347826087,1313637.0,131363.0,1445000.0,,2018-12-20,2018.0,12.0
149,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4023,4023,27.5,22000.0,550000.0,55000.0,605000.0,,2018-08-25,2018.0,8.0
152,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4024,4024,17.5,30000.0,477273.0,47727.0,525000.0,,2018-05-21,2018.0,5.0
158,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4026,4026,17.5,30000.0,477274.0,47726.0,525000.0,,2018-01-06,2018.0,1.0
160,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4027,4027,32.0,25000.0,727272.0,72728.0,800000.0,,2018-07-12,2018.0,7.0
165,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4028,4028,20.0,25750.0,468182.0,46818.0,515000.0,,2018-12-10,2018.0,12.0
172,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4029,4029,6.0,23500.0,128182.0,12818.0,141000.0,,2018-11-29,2018.0,11.0
174,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4030,4030,4.04,18500.0,67946.0,6794.0,74740.0,,2018-08-28,2018.0,8.0
176,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4031,4031,2.5,22000.0,50000.0,5000.0,55000.0,,2018-09-05,2018.0,9.0
178,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4032,4032,52.5,30333.3333333333,1447730.0,144770.0,1592500.0,,2018-07-06,2018.0,7.0
189,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4033,4033,4.0,20000.0,72728.0,7272.0,80000.0,,2018-01-11,2018.0,1.0
191,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4034,4034,40.0,26250.0,954546.0,95454.0,1050000.0,,2018-11-04,2018.0,11.0
201,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4035,4035,182.0,25901.0989010989,4285457.0,428543.0,4714000.0,,2018-03-10,2018.0,3.0
213,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4036,4036,75.0,24500.0,1670456.0,167044.0,1837500.0,,2018-12-21,2018.0,12.0
228,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4057,4057,186.0,79991.935483871,13525909.0,1352591.0,14878500.0,,2018-01-12,2018.0,1.0
274,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4059,4059,28.0,21964.2857142857,559091.0,55909.0,615000.0,,2018-06-12,2018.0,6.0
279,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4098,4098,15.75,23000.0,329318.0,32932.0,362250.0,,2018-12-21,2018.0,12.0
282,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4189,4189,116.1,32500.0,3430228.0,343022.0,3773250.0,,2018-05-04,2018.0,5.0
287,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4190,4190,42.5,30500.0,1178408.0,117842.0,1296250.0,,2018-12-21,2018.0,12.0
292,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4192,4192,88.8,32637.9504504505,2634773.0,263477.0,2898250.0,,2018-07-27,2018.0,7.0
296,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4232,4232,104.88,34760.8695652174,3314288.0,331432.0,3645720.0,,2018-11-30,2018.0,11.0
308,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4234,4234,256.0,59075.61328125,13748507.0,1374850.0,15123357.0,,2018-09-18,2018.0,9.0
354,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4235,4235,150.0,22800.0,3109092.0,310908.0,3420000.0,,2018-12-20,2018.0,12.0
365,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4236,4236,7.5,28000.0,190909.0,19091.0,210000.0,,2018-08-08,2018.0,8.0
367,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4242,4242,216.3,25076.1904761905,4930893.0,493087.0,5423980.0,,2018-08-08,2018.0,8.0
377,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4243,4243,113.3,22585.3045013239,2326288.0,232627.0,2558915.0,,2018-08-14,2018.0,8.0
384,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4251,4251,122.43,21316.9974679409,2372580.0,237260.0,2609840.0,,2018-12-17,2018.0,12.0
396,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4252,4252,358.05,21052.6211422986,6852629.0,685262.0,7537891.0,,2018-11-27,2018.0,11.0
415,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4253,4253,66.99,21562.9496939842,1313184.0,131318.0,1444502.0,,2018-05-12,2018.0,5.0
420,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4254,4254,258.72,26216.9294990724,6166225.0,616619.0,6782844.0,,2018-12-17,2018.0,12.0
438,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4256,4256,4.12,28500.0,106745.0,10675.0,117420.0,,2018-11-30,2018.0,11.0
440,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4257,4257,242.55,24257.1469800041,5348701.0,534870.0,5883571.0,,2018-08-30,2018.0,8.0
450,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4476,4476,69.3,35396.6666666667,2229989.0,223000.0,2452989.0,,2018-10-24,2018.0,10.0
456,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4477,4477,48.51,35500.0,1565550.0,156555.0,1722105.0,,2018-07-27,2018.0,7.0
463,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4478,4478,20.79,34782.202982203,657384.0,65738.0,723122.0,,2018-12-12,2018.0,12.0
467,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4479,4479,2.31,29039.8268398268,60984.0,6098.0,67082.0,,2018-11-23,2018.0,11.0
469,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4480,4480,62.37,35305.5635722302,2001825.0,200183.0,2202008.0,,2018-11-23,2018.0,11.0
473,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4481,4481,32.34,29000.0,852600.0,85260.0,937860.0,,2018-11-23,2018.0,11.0
475,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4482,4482,168.72,27144.7368421053,4163510.0,416350.0,4579860.0,,2018-08-22,2018.0,8.0
492,Grupo : CERAMICA ESMALTADA de la familia SANITARIOS E IMPORTACIONES,4483,4483,115.61,29473.2722082865,3097641.0,309764.0,3407405.0,,2018-12-17,2018.0,12.0
