index,Grupo,ID_producto,Producto,Cantidad,Venta_Promedio,Monto_gravado,IVA,Total,Fecha_raw,Fecha,Año,Mes
1,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1020,STATOFIX 100 GR.,3.035,3.55024,,979.545,,,,,
228,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1086,ACQUELLA HIDROFUGANTE  3.6 L.,100.0,115.0,104.545,10.455,115.0,,2018-12-22,2018.0,12.0
230,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1157,SILICONA POMO K-92 TRANSP 280ML,1700.0,17.45441,269.748,26.977,296.725,,2018-11-20,2018.0,11.0
237,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1177,ASFALTIN  4 L. BALDE,2600.0,33.16331,783.858,78.388,862.246,,2018-12-17,2018.0,12.0
256,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1206,ASFALTO LIQUIDO PENSYLVANIA 18 L.,400.0,75.0,272.728,27.272,300.0,,2018-11-02,2018.0,11.0
260,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1211,DESCAL 2C  BIDON 5 L.,1800.0,54.51711,892.099,89.209,981.308,,2018-11-05,2018.0,11.0
274,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1224,BITUMEX 1 L.,600.0,28.0,152.726,15.274,168.0,,2018-12-21,2018.0,12.0
281,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1225,BITUMEX 4 L.,2300.0,77.0913,,161.19,,,2018-12-20,2018.0,12.0
295,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1232,MUROKAL  1 L.,39100.0,8.48205,,301.511,,,2018-12-05,2018.0,12.0
543,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1233,MUROKAL  5 L.,30600.0,41.92252,,,,,2018-12-20,2018.0,12.0
799,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1282,IMPACRIL BLANCO 20 K.,12000.0,372.20978,,,,,2018-12-20,2018.0,12.0
845,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1297,LIMPIADOR 100 1 L.,1800.0,16.89667,276.489,27.651,304.14,,2018-12-14,2018.0,12.0
855,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1298,LIMPIADOR 100 5 L.,1500.0,72.11593,983.399,98.34,,,2018-11-28,2018.0,11.0
864,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,133,HIDROFUGO VEDACIT   1 L.,8700.0,10.06322,795.917,79.583,875.5,,2018-12-14,2018.0,12.0
930,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1335,PAVICRON NATURAL  30 K.,3300.0,80.94097,,242.822,,,2018-12-13,2018.0,12.0
941,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,134,HIDROFUGO VEDACIT  3.6 L.,14700.0,28.94338,,386.771,,,2018-12-18,2018.0,12.0
1063,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,135,HIDROFUGO VEDACIT 18 L.,18800.0,97.7734,,,,,2018-12-17,2018.0,12.0
1215,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,136,NEGROLIN   1 L.,4900.0,14.44898,643.641,64.359,708.0,,2018-12-20,2018.0,12.0
1255,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,137,"NEGROLIN   3,6 L.",7700.0,47.56164,,332.927,,,2018-12-06,2018.0,12.0
1320,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1378,DESCAL 2C  BALDE 25KG.,4000.0,203.05923,,738.397,,,2018-12-14,2018.0,12.0
1339,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,138,NEGROLIN  18 L.,6300.0,262.29365,,,,,2018-11-19,2018.0,11.0
1381,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1388,CANATECH FIBRADO BLANCO  4 K.,2000.0,51.075,928.636,92.864,,,2018-12-13,2018.0,12.0
1393,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1389,CANATECH FIBRADO BLANCO 20 K.,800.0,222.5,,161.818,,,2018-11-16,2018.0,11.0
1397,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,141,"VEDAPREN BLANCO  4,5 K.",300.0,93.66667,255.455,25.545,281.0,,2018-04-06,2018.0,4.0
1401,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1441,MUROKAL 18 L.,33000.0,157.48131,,,,,2018-10-15,2018.0,10.0
1653,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1450,HORMIFIX 20 L.,14300.0,387.68462,,,,,2018-12-20,2018.0,12.0
1734,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,152,HIDROFUGO CERESITA  1 K.,100.0,11.0,10.0,1.0,11.0,,2018-12-20,2018.0,12.0
1736,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,156,ACELERAL  1 KG.,2200.0,8.61818,172.365,17.235,189.6,,2018-04-02,2018.0,4.0
1753,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,157,ACELERAL  6 KG.,100.0,40.881,37.165,3.716,40.881,,2018-12-18,2018.0,12.0
1755,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,162,ASFALTIN  1 L.,1200.0,8.04017,87.711,8.771,96.482,,2018-08-04,2018.0,8.0
1761,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1639,ACELERAL 24 KG.,400.0,214.25,779.091,77.909,857.0,,2018-12-21,2018.0,12.0
1767,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1652,ASFALTIN 18 L.,900.0,139.88889,,114.455,,,2018-11-14,2018.0,11.0
1773,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1689,VEDALIT ADITIVO  18 L.,100.0,130.0,118.182,11.818,130.0,,2018-10-05,2018.0,10.0
1775,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,169,HORMIFIX  1 L.,15500.0,21.25373,,299.481,,,2018-09-03,2018.0,9.0
1869,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,170,HORMIFIX  5 L.,6800.0,103.15634,,637.695,,,2018-12-20,2018.0,12.0
1923,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1715,PATINAL D 18 L.,2200.0,186.28141,,372.564,,,2018-12-18,2018.0,12.0
1938,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1722,INYECSIL 1 L.,600.0,23.0,125.454,12.546,138.0,,2018-12-11,2018.0,12.0
1943,Grupo : ADITIVOS de la familia MATERIALES DE CONSTRUCCION Y SERVICIOS,1723,INYECSIL 5 L.,600.0,104.5,569.999,57.001,627.0,,2018-10-29,2018.0,10.0
